Lada,Vesta,1.8,3900,0.0312821,55,5,4,1730,1079000
Lada,Priora,1.6,4000,0.0245,43,5,4,1578,180000
Lada,Niva,1.7,4000,0.02,60,5,4,1860,1700000
UAZ,Patriot,2.7,2500,0.0512,60,7,4,2670,550000
UAZ,Hunter,2.7,3000,0.0373333,50,5,4,2520,310000
Mercedes-Benz,E230,2.5,2900,0.0703448,65,5,4,2180,750000
Rolls Royce,Wraith,6.6,5500,0.1149091,82,4,4,2360,21000000
Lada,Ока,0.7,3400,0.0085294,30,4,4,975,56000
ГАЗ,Волга,2.5,2400,0.0354167,55,5,4,1820,530000
Kia,Cerato,2.0,4300,0.0348837,52,2,4,1740,700000
